race_id,race_name,course,date,type,class,pattern,aver_or,total_prize
rac_11263447,EMS Copiers Novice Handicap Chase (),Punchestown (IRE),2024-05-03,Chase,,Listed,133.7058823529412,0.0
rac_11274341,Uniquely Novice Hurdle,Punchestown (IRE),2024-05-03,Hurdle,,,51.357142857142854,0.0
rac_11258000,Alanna Homes Champion Novice Hurdle,Punchestown (IRE),2024-05-03,Hurdle,,Grade 1,121.33333333333333,0.0
rac_11257987,Boodles Champion Hurdle,Punchestown (IRE),2024-05-03,Hurdle,,Grade 1,156.75,0.0
rac_11274354,Howden Insurance Brokers INH Flat Race,Punchestown (IRE),2024-05-03,NH Flat,,,0.0,0.0
rac_11236485,Adept GRP Cabinets Novices' Handicap Chase,Uttoxeter,2024-05-04,Chase,Class 5,,78.4,6049.75
rac_11236459,Adept GRP Cabinets Handicap Chase,Uttoxeter,2024-05-04,Chase,Class 4,,114.25,8754.93
rac_11236433,Carlsberg Marston's Staffordshire Plate Handicap Chase (GBB Race),Uttoxeter,2024-05-04,Chase,Class 2,,130.11111111111111,34429.5
rac_11236381,At The Races App Expert Tips Handicap Chase,Hexham,2024-05-04,Chase,Class 5,,85.92307692307692,9492.7
rac_11236368,Download The N-E Bet App Today Handicap Chase,Hexham,2024-05-04,Chase,Class 5,,81.45454545454545,9492.7
rac_11236342,Follow Hexham Racecourse On Twitter @hexhamraces Novices' Limited Handicap Chase (GBB Race),Hexham,2024-05-04,Chase,Class 3,,126.0,15739.199999999999
rac_11239501,Join Moulton Racing Syndicate Novice Stakes (GBB Race),Yarmouth,2024-05-04,Flat,Class 5,,0.0,7869.6
rac_11239488,British European Breeders' Fund EBF Newcomers' Maiden Stakes (For Horses Which Haven't Run) (GBB),Yarmouth,2024-05-04,Flat,Class 5,,0.0,6689.16
rac_11239475,Quinnbet Handicap,Yarmouth,2024-05-04,Flat,Class 6,,56.42857142857143,7082.64
rac_11239462,Quinnbet Quarterback Maiden Stakes (GBB Race),Yarmouth,2024-05-04,Flat,Class 5,,0.0,7869.6
rac_11239449,"Quinnbet Acca Bonus ""Confined"" Handicap (Not Won A Race After 2023 Flat Turf Season)",Yarmouth,2024-05-04,Flat,Class 5,,63.857142857142854,8263.08
rac_11239436,Quinnbet Second To The Favourite Handicap,Yarmouth,2024-05-04,Flat,Class 4,,74.88888888888889,10623.960000000001
rac_11239423,Download The Quinnbet App Handicap,Yarmouth,2024-05-04,Flat,Class 4,,79.0,10623.960000000001
rac_11239410,Join Our Free Bet Club At Vickers.Bet Restricted Maiden Stakes (For horses In Bands C/D) (GBB Race),Thirsk,2024-05-04,Flat,Class 5,,0.0,5902.2
rac_11239397,fenetek.co.uk Your Local Aluminium Glazing Specialists Handicap,Thirsk,2024-05-04,Flat,Class 5,,67.42857142857143,7869.599999999999
rac_11239384,Best Odds Guaranteed At Vickers.Bet Everyday Handicap,Thirsk,2024-05-04,Flat,Class 5,,68.75,7869.599999999999
rac_11239371,Vickers.Bet Independent Family-Owned Bookmaker EBF Maiden Fillies' Stakes (GBB Race),Thirsk,2024-05-04,Flat,Class 4,,15.5,9837.0
rac_11239358,Follow @vickersracing On X Handicap,Thirsk,2024-05-04,Flat,Class 4,,78.46666666666667,9837.0
rac_11239345,Download The Vickers.Bet App Handicap,Thirsk,2024-05-04,Flat,Class 3,,81.76923076923077,17706.600000000002
rac_11239332,Vickers.Bet Thirsk Hunt Cup Handicap,Thirsk,2024-05-04,Flat,Class 2,,89.64285714285714,49185.0
rac_11239254,"William Hill Keep Your Raceday Positive ""Confined"" Handicap (Which Have Won No More Than One Race)",Newmarket,2024-05-04,Flat,Class 4,,79.42105263157895,29511.0
rac_11239241,HKJC World Pool Handicap,Newmarket,2024-05-04,Flat,Class 3,,84.75,39348.0
rac_11239228,William Hill Bet In-Running Handicap,Newmarket,2024-05-04,Flat,Class 2,,87.0909090909091,49185.0
rac_11239215,William Hill Epic Boost Handicap,Newmarket,2024-05-04,Flat,Class 2,,90.44444444444444,49185.0
rac_11239202,William Hill British EBF Ellen Chaloner Stakes  (The Kilvington Stakes) (Fillies & Mares),Newmarket,2024-05-04,Flat,Class 1,Listed,92.0,59022.0
rac_11239189,William Hill Palace House Stakes,Newmarket,2024-05-04,Flat,Class 1,Group 3,103.25,83614.5
rac_11239098,William Hill Extra Place Races Handicap,Goodwood,2024-05-04,Flat,Class 3,,85.0,24592.5
rac_11239085,William Hill Epic Value Restricted Maiden Stakes (For Horses In Bands B C And D) (GBB Race),Goodwood,2024-05-04,Flat,Class 4,,31.571428571428573,19674.0
rac_11239072,Goodwood Racehorse Owners Group Handicap,Goodwood,2024-05-04,Flat,Class 4,,76.75,19681.510000000002
rac_11239059,Goodwood Horseracing Club Handicap,Goodwood,2024-05-04,Flat,Class 4,,76.57142857142857,20313.4
rac_11239046,William Hill Epic Boost Handicap,Goodwood,2024-05-04,Flat,Class 2,,87.5,49185.0
rac_11239033,William Hill Conqueror Fillies' Stakes (),Goodwood,2024-05-04,Flat,Class 1,Listed,96.375,59022.0
rac_11239020,British Stallion Studs EBF Daisy Warwick Fillies' Stakes (),Goodwood,2024-05-04,Flat,Class 1,Listed,84.71428571428571,59022.0
rac_11224811,William Hill Suffolk Stakes (Heritage Handicap),Newmarket,2024-05-04,Flat,Class 2,,96.76923076923077,98370.0
rac_11224798,William Hill Extra Place Races Handicap (Heritage Handicap),Newmarket,2024-05-04,Flat,Class 2,,95.13333333333334,98370.0
rac_11196328,Qipco 2000 Guineas Stakes  (No Geldings) (British Champions Series),Newmarket,2024-05-04,Flat,Class 1,Group 1,102.45454545454545,491850.0
rac_11277240,Bobby Roberts Memorial Novices' Hurdle (GBB Race) (Div II),Hexham,2024-05-04,Hurdle,Class 4,,37.72727272727273,8853.3
rac_11236511,San Miguel Handicap Hurdle,Uttoxeter,2024-05-04,Hurdle,Class 5,,89.57142857142857,6049.75
rac_11236498,Hatmill Loves Logistics Novices' Handicap Hurdle,Uttoxeter,2024-05-04,Hurdle,Class 5,,85.88888888888889,6049.75
rac_11236472,"Carlsberg Danish Pilsner ""National Hunt"" Maiden Hurdle (GBB Race)",Uttoxeter,2024-05-04,Hurdle,Class 4,,0.0,7574.49
rac_11236446,Brooklyn Pilsner Handicap Hurdle,Uttoxeter,2024-05-04,Hurdle,Class 3,,125.33333333333333,10525.59
rac_11236420,Download The At The Races App Selling Hurdle,Hexham,2024-05-04,Hurdle,Class 4,,81.85714285714286,8853.3
