race_id,race_name,course
rac_11379641,Adare Manor Opportunity Handicap Hurdle (Div II),Killarney (IRE)
rac_11378796,Bunkers Bar & Restaurant Handicap Hurdle,Killarney (IRE)
rac_11378783,Adare Manor Opportunity Handicap Hurdle (Div I),Killarney (IRE)
rac_11378770,Laurels Bar & Restaurant Maiden Hurdle,Killarney (IRE)
rac_11379394,On-Course Bookmakers Handicap Hurdle,Ballinrobe (IRE)
rac_11379381,Paddy Smyth Memorial Mares Maiden Hurdle,Ballinrobe (IRE)
rac_11379368,Hollymount Nursing Home Handicap Hurdle,Ballinrobe (IRE)
rac_11379355,Adare Manor Opportunity Maiden Hurdle,Ballinrobe (IRE)
rac_11379303,My Pension Expert Handicap Hurdle,Downpatrick (IRE)
rac_11379290,Randox Maiden Hurdle,Downpatrick (IRE)
rac_11379277,Ulster Carpets Handicap Hurdle,Downpatrick (IRE)
rac_11379264,A J C Group Maiden Hurdle,Downpatrick (IRE)
rac_11381500,John Purfield Memorial Handicap Hurdle (Div II),Bellewstown (IRE)
rac_11379771,John Purfield Memorial Handicap Hurdle (Div I),Bellewstown (IRE)
rac_11379758,PANDA Mares Hurdle,Bellewstown (IRE)
rac_11379745,Bective Stud Tea Rooms & Apartments Mullacurry Cup Handicap Hurdle,Bellewstown (IRE)
rac_11379732,Reddans Of Bettystown Handicap Hurdle,Bellewstown (IRE)
rac_11379719,Connolly's RED MILLS Irish EBF Auction Maiden Hurdle (IRE Incentive Race),Bellewstown (IRE)
rac_11379706,Dave Harvey Memorial Claiming Hurdle,Bellewstown (IRE)
rac_11382696,visitwexford.ie Handicap Hurdle (Div II),Wexford (IRE)
rac_11381942,Brendan Cullimore Electrical Mares Maiden Hurdle,Wexford (IRE)
rac_11381929,Wexford Heritage Trails Handicap Hurdle,Wexford (IRE)
rac_11381916,visitwexford.ie Handicap Hurdle (Div I),Wexford (IRE)
rac_11381903,Adare Manor Opportunity Maiden Hurdle,Wexford (IRE)
rac_11381877,Pilgrim's Handicap Hurdle,Down Royal (IRE)
